"Priority","Capability to prove","Primary OSS service","Supporting services","Best proof workflow","Value unlocked"
"6.10","[enterprise-source-erp:sql-read] Governed SQL reads — Count and read approved general-ledger and invoice tables.","Existing Finance ERP","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify Finance ERP “Governed SQL reads” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.11","[enterprise-source-minio:bucket-discovery] Bucket and object discovery — Discover buckets, prefixes, object metadata, and formats for onboarding.","Existing S3-compatible data lake","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify S3-compatible Data Lake “Bucket and object discovery” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.12","[enterprise-source-minio:object-read-write] Governed object read and write — List, read, write, and delete approved lake objects through a source binding.","Existing S3-compatible data lake","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify S3-compatible Data Lake “Governed object read and write” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.13","[enterprise-source-policyadmin:connector-lifecycle] Connector and credential lifecycle — Create, inspect, update, test, rotate credentials, and delete the binding.","Existing Policy Administration system","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify Policy Administration “Connector and credential lifecycle” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.14","[enterprise-source-policyadmin:schema-cdc-admin] Schema discovery, CDC, and database administration — Discover schemas, replicate changes, and operate users, backups, and maintenance.","Existing Policy Administration system","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify Policy Administration “Schema discovery, CDC, and database administration” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.15","[lancedb:record-maintenance] Record update and deletion — Inspect, update, and remove indexed records by source or identifier.","LanceDB","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify LanceDB “Record update and deletion” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.16","[postgres:relational-store] Transactional relational store — Persist console configuration and operational records with transactional SQL.","PostgreSQL","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify PostgreSQL “Transactional relational store” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.17","[seaweedfs:object-read-write] S3 object read and write — Store, retrieve, list, and delete documents, media, and artifacts.","SeaweedFS","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify SeaweedFS “S3 object read and write” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.18","[warehouse:ingest-sync] Batch and ELT ingestion — Land replicated source records and inspect loaded tables and counts.","ClickHouse Warehouse","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify ClickHouse Warehouse “Batch and ELT ingestion” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.19","[warehouse:schema-models] Tables, views, and analytical models — Create and maintain schemas, views, materialized views, and transformations.","ClickHouse Warehouse","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify ClickHouse Warehouse “Tables, views, and analytical models” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"6.20","[warehouse:sql-query] SQL query and exploration — Run bounded analytical SQL and inspect results and schema.","ClickHouse Warehouse","PostgreSQL, SeaweedFS, LanceDB, Marquez, enterprise source adapters","Verify ClickHouse Warehouse “SQL query and exploration” within: Existing source → governed discovery → incremental replication → validated analytical model → lineage","Uses existing enterprise data without rip-and-replace or fragile manual pipelines"
"7","Enterprise identity, secrets, policy and perimeter enforcement","Keycloak + OpenBao + OPA","Network Gateway, Presidio, LLM Guard, Off Grid Console","Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.01","[console:authenticated-control-plane] Authenticated tenant control plane — Open the governed management Console with tenant-scoped data and actions.","Off Grid Console","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Console “Authenticated tenant control plane” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.02","[edge-gateway:access-evidence] Access and rejection evidence — Inspect edge traffic and blocked requests from the active JSON access stream.","Network Gateway","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Network Gateway “Access and rejection evidence” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.03","[edge-gateway:guarded-file-delivery] Policy-owned file delivery — Serve stable file URLs without bypassing object visibility, tenant, or owner policy.","Network Gateway","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Network Gateway “Policy-owned file delivery” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.04","[edge-gateway:http-routing] Host and path routing — Route public hosts and bounded API paths to their canonical on-prem owners.","Network Gateway","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Network Gateway “Host and path routing” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.05","[edge-gateway:rate-limiting] Per-client rate limiting — Bound abusive clients with route-specific sliding-window limits.","Network Gateway","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Network Gateway “Per-client rate limiting” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.06","[edge-gateway:waf] Web application firewall — Reject scanner, injection, traversal, and script payloads before application code.","Network Gateway","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Network Gateway “Web application firewall” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.07","[fleetdm:queries-policies] Live queries and compliance policies — Run bounded osquery queries and manage host compliance checks.","Device Management","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Device Management “Live queries and compliance policies” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.08","[keycloak:federation-mfa] Federation and MFA policy — Federate workforce identity and require suitable authentication assurance.","Identity & SSO","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Identity & SSO “Federation and MFA policy” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.09","[keycloak:human-sso] Human SSO and sessions — Authenticate operators through the configured enterprise identity provider.","Identity & SSO","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Identity & SSO “Human SSO and sessions” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.10","[keycloak:service-accounts] Service-account grants — Issue client-credential grants to internal service adapters without hard-coded bearer tokens.","Identity & SSO","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Identity & SSO “Service-account grants” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.11","[opa:bundles-decision-logs] Bundles and decision-log export — Distribute policy safely and export complete decision telemetry.","Policy Engine","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Policy Engine “Bundles and decision-log export” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.12","[opa:policy-lifecycle] Policy and module lifecycle — Create, edit, publish, version, and retire governed policy rules.","Policy Engine","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Policy Engine “Policy and module lifecycle” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.13","[openbao:dynamic-credentials] Dynamic database credentials and leases — Issue short-lived credentials, inspect leases, and revoke access.","Secrets Vault","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Secrets Vault “Dynamic database credentials and leases” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.14","[openbao:secret-lifecycle] Tenant secret lifecycle — Create, read, update, and delete governed secrets without revealing values in client state.","Secrets Vault","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Secrets Vault “Tenant secret lifecycle” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.15","[opensearch:security-alerting] Security analytics and alerting — Run detectors, monitors, rules, findings, and notification actions.","OpenSearch","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify OpenSearch “Security analytics and alerting” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.16","[otel-collector:processing-policies] Sampling, filtering, redaction, and routing — Apply telemetry policy before export.","OpenTelemetry Collector","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify OpenTelemetry Collector “Sampling, filtering, redaction, and routing” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.17","[presidio:image-redaction] Image PII redaction — Detect and redact PII in images and scanned documents.","Presidio","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify Presidio “Image PII redaction” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"7.18","[seaweedfs:buckets-credentials] Buckets and access credentials — Create buckets and manage scoped object-store credentials and policies.","SeaweedFS","Network Gateway, Presidio, LLM Guard, Off Grid Console","Verify SeaweedFS “Buckets and access credentials” within: Enterprise identity → least-privilege access → secret lease → policy decision → audited request","Makes AI secure, compliant, governable and auditable by default"
"8","Governed model routing, rollout, caching and cost control","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.01","[gateway:authenticated-inference] Authenticated inference — Run OpenAI-compatible inference through the governed on-prem door.","Off Grid AI Gateway","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify AI Gateway “Authenticated inference” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.02","[gateway:fleet-routing] Fleet model routing — Discover healthy models and route requests across active fleet nodes.","Off Grid AI Gateway","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify AI Gateway “Fleet model routing” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.03","[litellm:budgets-rate-limits] Budgets and RPM/TPM limits — Enforce spend and request limits on virtual keys.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Budgets and RPM/TPM limits” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.04","[litellm:deployment-inventory] Deployment inventory and health — Read configured models and merge them with healthy and unhealthy endpoint state.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Deployment inventory and health” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.05","[litellm:load-balance-failover] Load balancing, retries, and failover — Route a model alias across fleet and cloud deployments with health-aware retry policy.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Load balancing, retries, and failover” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.06","[litellm:openai-proxy] OpenAI-compatible inference proxy — Serve chat and model requests through a single OpenAI-compatible model door.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “OpenAI-compatible inference proxy” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.07","[litellm:provider-pools] Fleet and cloud provider pools — Generate deployment entries for on-prem nodes and approved cloud providers.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Fleet and cloud provider pools” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.08","[litellm:response-cache] Response caching — Cache eligible model responses with explicit privacy, scope, and expiry policy.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Response caching” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.09","[litellm:virtual-keys] Virtual key lifecycle — Create, rotate, revoke, scope, and inspect LiteLLM virtual keys.","LiteLLM","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify LiteLLM “Virtual key lifecycle” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.10","[redis:shared-response-cache] Shared response cache — Cache governed responses across Console processes with bounded expiry.","Redis","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify Redis “Shared response cache” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.11","[unleash:flag-lifecycle] Feature-flag lifecycle — Create, describe, enable, disable, and archive product flags.","Feature Flags","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify Feature Flags “Feature-flag lifecycle” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"8.12","[unleash:progressive-rollout] Progressive rollout and variants — Roll out a capability gradually and choose controlled variants.","Feature Flags","Off Grid AI Gateway, Redis, Unleash, fleet inference nodes","Verify Feature Flags “Progressive rollout and variants” within: Governed request → eligible model pool → health-aware routing → budget enforcement → measured response","Improves reliability and cost while retaining control over where inference runs"
"9","End-to-end observability, audit search and incident response","OpenTelemetry + OpenSearch","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.01","[jaeger:dependencies-performance] Service dependencies and performance analysis — Inspect dependency graphs, latency distributions, and error hotspots.","Jaeger","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Jaeger “Service dependencies and performance analysis” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.02","[jaeger:storage-retention-admin] Storage, retention, and service administration — Configure storage backends, retention, archive, sampling, and collector/query topology.","Jaeger","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Jaeger “Storage, retention, and service administration” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.03","[jaeger:trace-ingest] OTLP trace ingestion — Receive spans and assemble distributed traces.","Jaeger","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Jaeger “OTLP trace ingestion” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.04","[jaeger:trace-search-detail] Trace search and span detail — Search by service, operation, tags, duration, and time and inspect span trees.","Jaeger","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Jaeger “Trace search and span detail” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.05","[litellm:structured-callbacks] Structured request logging callbacks — Send completion outcomes, deployment, tokens, caller, latency, and status into traffic records.","LiteLLM","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify LiteLLM “Structured request logging callbacks” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.06","[llm-guard:telemetry] Scanner telemetry — Observe scanner verdict counts, latency, errors, traces, and service saturation.","Content guardrails","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Content guardrails “Scanner telemetry” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.07","[marquez:graph-exploration] Dataset and job graph exploration — Navigate upstream and downstream dependencies and inspect node metadata.","Marquez","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Marquez “Dataset and job graph exploration” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.08","[marquez:namespaces-tags-ownership] Namespaces, tags, and ownership — Organize lineage entities and maintain searchable governance metadata.","Marquez","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify Marquez “Namespaces, tags, and ownership” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.09","[opensearch:index-lifecycle] Indexes, mappings, aliases, and retention — Manage mappings, templates, aliases, rollover, and retention policy.","OpenSearch","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenSearch “Indexes, mappings, aliases, and retention” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.10","[opensearch:index-search] Indexing and search — Index structured records and run filtered, full-text, and aggregation queries.","OpenSearch","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenSearch “Indexing and search” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.11","[otel-collector:otlp-logs] OTLP log ingest and export — Receive structured logs and deliver them to an operational backend.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “OTLP log ingest and export” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.12","[otel-collector:otlp-metrics] OTLP metrics and remote write — Receive metrics and export them to VictoriaMetrics.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “OTLP metrics and remote write” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.13","[otel-collector:otlp-traces] OTLP trace ingest — Receive OTLP/HTTP and OTLP/gRPC traces.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “OTLP trace ingest” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.14","[otel-collector:pipeline-configuration] Receiver, processor, and exporter configuration — Manage pipelines and approved signal destinations.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “Receiver, processor, and exporter configuration” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.15","[otel-collector:readiness] Protocol-level ingest readiness — Verify that the OTLP receiver accepts a valid export envelope.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “Protocol-level ingest readiness” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.16","[otel-collector:self-telemetry] Collector throughput, errors, and queues — Inspect accepted signals, exporter failures, batches, and queue depth.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “Collector throughput, errors, and queues” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.17","[otel-collector:trace-export-jaeger] Trace export to Jaeger — Batch accepted traces and export them to Jaeger OTLP.","OpenTelemetry Collector","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify OpenTelemetry Collector “Trace export to Jaeger” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.18","[victorialogs:log-ingest] Structured log ingestion — Accept logs from supported HTTP, Loki, Elasticsearch, and OpenTelemetry-compatible paths.","VictoriaLogs","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaLogs “Structured log ingestion” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.19","[victorialogs:log-query] Log search and field filtering — Search stored logs by time, text, stream, and structured fields.","VictoriaLogs","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaLogs “Log search and field filtering” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.20","[victorialogs:retention-alerts-tenancy] Retention, alerts, and tenant operations — Manage retention, alert rules, tenant boundaries, and storage lifecycle.","VictoriaLogs","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaLogs “Retention, alerts, and tenant operations” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.21","[victorialogs:streams-facets-stats] Streams, facets, and statistics — Explore stream cardinality, field values, and aggregate log statistics.","VictoriaLogs","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaLogs “Streams, facets, and statistics” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.22","[victoriametrics:alerts-recording-rules] Alerts and recording rules — Create rule groups, evaluate alerts, and inspect firing state.","VictoriaMetrics","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaMetrics “Alerts and recording rules” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.23","[victoriametrics:ingest-remote-write] Prometheus remote write and OTLP ingestion — Accept application and collector metrics through remote-write or OTLP paths.","VictoriaMetrics","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaMetrics “Prometheus remote write and OTLP ingestion” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.24","[victoriametrics:metrics-query] Metrics query and range analysis — Query current and historical time series with PromQL-compatible expressions.","VictoriaMetrics","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaMetrics “Metrics query and range analysis” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"9.25","[victoriametrics:retention-backup-cluster] Retention, backup, and cluster operations — Manage retention, snapshots, backups, tenancy, and distributed storage state.","VictoriaMetrics","Jaeger, VictoriaMetrics, VictoriaLogs, Langfuse, Marquez","Verify VictoriaMetrics “Retention, backup, and cluster operations” within: Production run → correlated traces/logs/metrics/lineage → anomaly → root cause → operator action","Cuts diagnosis time and makes every AI decision operationally accountable"
"10","Platform resilience, backup, recovery and fleet operations","Off Grid operations runtime","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.01","[console:self-lifecycle] Console process lifecycle — Deploy, restart, and roll back the control plane safely.","Off Grid Console","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Console “Console process lifecycle” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.02","[edge-gateway:supervised-recovery] Validated edge recovery — Validate exact config and modules before restarting the supervised edge.","Network Gateway","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Network Gateway “Validated edge recovery” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.03","[enterprise-source-minio:versioning-retention-events] Versioning, retention, policies, and events — Manage object versions, lifecycle, retention, policies, and event notifications.","Existing S3-compatible data lake","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify S3-compatible Data Lake “Versioning, retention, policies, and events” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.04","[fleetdm:host-inventory-software] Host and software inventory — Inspect enrolled devices, installed software, and vulnerability context.","Device Management","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Device Management “Host and software inventory” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.05","[fleetdm:premium-mdm] Premium device control — Lock, wipe, and push configuration profiles to managed devices.","Device Management","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Device Management “Premium device control” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.06","[lancedb:versioning-index-tuning] Versions and index tuning — Operate table versions, scalar/vector indexes, compaction, and optimization.","LanceDB","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify LanceDB “Versions and index tuning” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.07","[llm-guard:availability-failure-policy] Availability, timeouts, and failure policy — Probe liveness/readiness, bound scanner latency, and choose fail-fast or aggregate behavior.","Content guardrails","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Content guardrails “Availability, timeouts, and failure policy” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.08","[openbao:vault-recovery] Vault audit and disaster recovery — Back up encrypted state, inspect audit devices, and recover without credential loss.","Secrets Vault","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify Secrets Vault “Vault audit and disaster recovery” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.09","[opensearch:cluster-snapshots-security] Cluster, snapshots, and security administration — Operate nodes, shards, snapshots, users, roles, and audit settings.","OpenSearch","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify OpenSearch “Cluster, snapshots, and security administration” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
"10.10","[postgres:backup-restore] Backup and restore — Create, inspect, verify, and restore database backups.","PostgreSQL","PostgreSQL, Qdrant, SeaweedFS, Temporal, OpenBao, FleetDM","Verify PostgreSQL “Backup and restore” within: Failure or upgrade → safe drain/snapshot → supervised restart → restore → integrity verification","Keeps critical AI workflows available and recoverable on customer-owned infrastructure"
